ParticipantName	FixationIndex	AOI[window]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[title]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	AOI[Q4]Hit	
P03	75	1	0	1	0	0	0	0	0	
P03	76	1	0	1	0	0	0	0	0	
P03	77	1	1	0	0	0	0	0	1	
P03	78	1	1	0	0	0	0	0	1	
P03	79	1	1	0	0	0	1	0	0	
P03	80	1	1	0	0	0	1	0	0	
P03	81	1	1	0	0	0	0	0	1	
P03	82	1	1	0	0	0	0	0	1	
P03	83	1	1	0	0	0	0	0	1	
P03	84	1	1	0	0	0	1	0	0	
P03	85	1	0	1	0	0	0	0	0	
P03	86	1	0	1	0	0	0	0	0	
P04	1	1	1	0	0	0	0	0	0	
P04	2	1	1	0	0	0	0	0	0	
P04	3	1	0	0	0	0	0	0	0	
P04	4	1	0	0	0	0	0	0	0	
P04	5	1	0	0	0	0	0	0	0	
P04	6	1	0	0	0	0	0	0	0	
P04	7	1	1	0	0	0	0	0	0	
P04	8	1	1	0	0	0	0	0	0	
P04	9	1	1	0	0	0	0	0	0	
P04	10	1	1	0	0	0	0	0	0	
P04	11	1	1	0	0	0	0	0	0	
P04	12	1	1	0	0	0	0	0	0	
P04	13	1	1	0	0	1	0	0	0	
P04	14	1	1	0	0	1	0	0	0	
P04	15	1	1	0	0	1	0	0	0	
P04	16	1	1	0	0	1	0	0	0	
P04	17	1	1	0	0	0	1	0	0	
P04	18	1	0	1	0	0	0	0	0	
P04	19	1	0	1	0	0	0	0	0	
P04	20	1	0	1	0	0	0	0	0	
P04	21	1	0	1	0	0	0	0	0	
P04	22	1	1	0	0	0	0	0	1	
P04	23	1	1	0	0	0	0	1	0	
P04	24	1	1	0	0	1	0	0	0	
P04	25	1	1	0	0	1	0	0	0	
P04	26	1	1	0	0	0	1	0	0	
P04	27	1	1	0	0	0	1	0	0	
P04	28	1	1	0	0	0	0	0	1	
P04	29	1	0	1	0	0	0	0	0	
P04	30	1	0	1	0	0	0	0	0	
P04	31	1	0	1	0	0	0	0	0	
P04	32	1	0	1	0	0	0	0	0	
P04	33	1	0	1	0	0	0	0	0	
P04	34	1	0	1	0	0	0	0	0	
P04	35	1	1	0	0	1	0	0	0	
P04	36	1	1	0	0	1	0	0	0	
P04	37	1	1	0	0	1	0	0	0	
P04	38	1	1	0	0	0	0	1	0	
P04	39	1	1	0	0	0	0	1	0	
P04	40	1	1	0	0	1	0	0	0	
P04	41	1	1	0	0	0	0	0	0	
P04	42	1	1	0	0	0	0	0	0	
P04	43	1	1	0	0	0	0	0	0	
P04	44	1	1	0	0	0	0	0	0	
P04	45	1	0	0	0	0	0	0	0	
P04	46	1	1	0	0	0	0	0	1	
P04	47	1	1	0	0	0	1	0	0	
P04	48	1	1	0	0	0	1	0	0	
P04	49	1	1	0	0	0	0	0	0	
P04	50	1	1	0	0	0	1	0	0	
P04	51	1	1	0	0	0	1	0	0	
P04	52	1	1	0	0	0	1	0	0	
P04	53	1	1	0	0	0	0	0	0	
P04	54	1	1	0	0	1	0	0	0	
P04	55	1	1	0	0	1	0	0	0	
P04	56	1	1	0	0	1	0	0	0	
P04	57	1	1	0	0	0	0	0	0	
P04	58	1	1	0	0	1	0	0	0	
P05	1	1	1	0	0	0	0	0	0	
P05	2	1	0	0	1	0	0	0	0	
P05	3	1	0	0	1	0	0	0	0	
P05	4	1	0	0	1	0	0	0	0	
P05	5	1	0	0	1	0	0	0	0	
P05	6	1	0	0	1	0	0	0	0	
P05	7	1	0	0	0	0	0	0	0	
P05	8	1	0	0	0	0	0	0	0	
P05	9	1	0	0	0	0	0	0	0	
P05	10	1	0	0	0	0	0	0	0	
P05	11	1	0	0	0	0	0	0	0	
P05	12	1	0	0	0	0	0	0	0	
P05	13	1	0	0	1	0	0	0	0	
P05	14	1	0	0	1	0	0	0	0	
P05	15	1	0	0	1	0	0	0	0	
P05	16	1	1	0	0	0	0	0	0	
P05	17	1	0	0	0	0	0	0	0	
P05	18	1	0	0	0	0	0	0	0	
P05	19	1	0	0	0	0	0	0	0	
P05	20	1	0	0	0	0	0	0	0	
P05	21	1	0	1	0	0	0	0	0	
P05	22	1	0	1	0	0	0	0	0	
P05	23	1	0	1	0	0	0	0	0	
P05	24	1	0	1	0	0	0	0	0	
P05	25	1	0	1	0	0	0	0	0	
P05	26	1	0	1	0	0	0	0	0	
P05	27	1	0	1	0	0	0	0	0	
P05	28	1	0	1	0	0	0	0	0	
P05	29	1	0	1	0	0	0	0	0	
P05	30	1	1	0	0	0	0	0	0	
P05	31	1	1	0	0	0	0	0	1	
P05	32	1	1	0	0	0	1	0	0	
P05	33	1	1	0	0	0	1	0	0	
P05	34	1	1	0	0	0	1	0	0	
P05	35	1	1	0	0	1	0	0	0	
P05	36	1	1	0	0	0	0	0	0	
P05	37	1	1	0	0	0	0	0	0	
P05	38	1	1	0	0	0	0	0	0	
P05	39	1	1	0	0	0	0	1	0	
P05	40	1	1	0	0	0	0	0	1	
P05	41	1	1	0	0	0	0	0	1	
P05	42	1	1	0	0	0	0	0	1	
P05	43	1	1	0	0	0	0	0	1	
P05	44	1	1	0	0	0	0	0	0	
P05	45	1	1	0	0	0	0	0	0	
P05	46	1	1	0	0	1	0	0	0	
P05	47	1	0	0	0	0	0	0	0	
P05	48	1	1	0	0	0	0	0	0	
P05	49	1	1	0	0	1	0	0	0	
P05	50	1	1	0	0	0	0	0	0	
P05	51	1	1	0	0	0	0	0	0	
P05	52	1	1	0	0	1	0	0	0	
P05	53	1	1	0	0	1	0	0	0	
P05	54	1	1	0	0	1	0	0	0	
P05	55	1	1	0	0	0	1	0	0	
P05	56	1	1	0	0	0	1	0	0	
P05	57	1	1	0	0	0	0	0	0	
P05	58	1	1	0	0	0	0	0	0	
P05	59	1	1	0	0	1	0	0	0	
P05	60	1	1	0	0	1	0	0	0	
P05	61	1	1	0	0	0	0	0	0	
P05	62	1	1	0	0	0	0	1	0	
P05	63	1	1	0	0	1	0	0	0	
P05	64	1	1	0	0	1	0	0	0	
P05	65	1	1	0	0	0	0	0	1	
P05	66	1	1	0	0	0	0	0	1	
P05	67	1	1	0	0	0	0	0	1	
P05	68	1	0	1	0	0	0	0	0	
P05	69	1	0	1	0	0	0	0	0	
P05	70	1	0	1	0	0	0	0	0	
P05	71	1	0	1	0	0	0	0	0	
P05	72	1	0	1	0	0	0	0	0	
P05	73	1	0	1	0	0	0	0	0	
P05	74	1	0	1	0	0	0	0	0	
P05	75	1	0	1	0	0	0	0	0	
P05	76	1	1	0	0	0	0	0	0	
P05	77	1	1	0	0	0	0	0	0	
P05	78	1	1	0	0	0	0	0	1	
P05	79	1	1	0	0	0	0	0	1	
P05	80	1	1	0	0	0	0	0	1	
P05	81	1	1	0	0	0	1	0	0	
P05	82	1	1	0	0	0	0	1	0	
P05	83	1	1	0	0	1	0	0	0	
P05	84	1	0	1	0	0	0	0	0	
P05	85	1	0	1	0	0	0	0	0	
P05	86	1	1	0	0	0	0	0	0	
P05	87	1	1	0	0	0	0	0	1	
P05	88	1	1	0	0	0	0	1	0	
P05	89	1	1	0	0	1	0	0	0	
P05	90	1	0	1	0	0	0	0	0	
P05	91	1	0	1	0	0	0	0	0	
P05	92	1	1	0	0	1	0	0	0	
P05	93	1	1	0	0	1	0	0	0	
P05	94	1	1	0	0	0	0	1	0	
P05	95	1	1	0	0	1	0	0	0	
P05	96	1	1	0	0	0	0	0	1	
P05	97	1	1	0	0	0	0	0	1	
P05	98	1	1	0	0	0	0	0	1	
P05	99	1	1	0	0	0	0	0	0	
P05	100	1	1	0	0	0	0	0	1	
P05	101	1	1	0	0	0	1	0	0	
P05	102	1	1	0	0	1	0	0	0	
P05	103	1	1	0	0	0	0	0	0	
P05	104	1	1	0	0	0	0	0	0	
P05	105	1	1	0	0	0	0	0	0	
P05	106	1	1	0	0	0	1	0	0	
P05	107	1	1	0	0	0	1	0	0	
P05	108	1	0	1	0	0	0	0	0	
P05	109	1	1	0	0	0	0	0	1	
P05	110	1	1	0	0	0	0	0	1	
P05	111	1	1	0	0	0	0	0	1	
P05	112	1	1	0	0	0	0	0	1	
P05	113	1	1	0	0	0	1	0	0	
P05	114	1	1	0	0	1	0	0	0	
P05	115	1	1	0	0	0	0	1	0	
P05	116	1	1	0	0	0	0	1	0	
P05	117	1	1	0	0	0	0	0	0	
P05	118	1	1	0	0	0	0	0	0	
P05	119	1	1	0	0	0	0	0	0	
P05	120	1	1	0	0	1	0	0	0	
P05	121	1	1	0	0	0	0	0	0	
P05	122	1	1	0	0	0	0	0	0	
P05	123	1	1	0	0	0	0	0	0	
P05	124	1	1	0	0	0	1	0	0	
P05	125	1	1	0	0	0	0	0	1	
P05	126	1	1	0	0	0	0	0	1	
P05	127	1	1	0	0	0	0	0	1	
P05	128	1	1	0	0	0	1	0	0	
P05	129	1	1	0	0	0	0	0	0	
P05	130	1	1	0	0	0	0	0	0	
P05	131	1	0	0	0	0	0	0	0	
P06	1	1	1	0	0	0	0	0	0	
P06	2	1	1	0	0	1	0	0	0	
P06	3	1	0	0	0	0	0	0	0	
P06	4	1	0	0	0	0	0	0	0	
P06	5	1	0	0	0	0	0	0	0	
P06	6	1	0	0	0	0	0	0	0	
