ParticipantName;FixationIndex;AOI[window]Hit;AOI[title]Hit;AOI[legend]Hit;AOI[Q1]Hit;AOI[Q2]Hit;AOI[Q3]Hit;AOI[Q4]Hit
P03;164;1;0;0;1;0;0;0
P03;165;1;0;0;1;0;0;0
P03;166;1;0;0;1;0;0;0
P03;167;1;0;0;0;0;0;1
P03;168;1;0;0;0;0;0;1
P03;169;1;0;0;1;0;0;0
P03;170;1;0;0;1;0;0;0
P03;171;1;0;0;1;0;0;0
P03;172;1;0;1;0;0;0;0
P03;173;1;0;1;0;0;0;0
P03;174;1;0;1;0;0;0;0
P03;175;1;0;1;0;0;0;0
P03;176;1;0;1;0;0;0;0
P03;177;1;0;1;0;0;0;0
P03;178;1;0;0;1;0;0;0
P03;179;1;0;0;0;0;0;1
P03;180;1;0;0;0;1;0;0
P03;181;1;0;0;0;0;0;0
P03;182;1;0;0;0;0;0;0
P03;183;1;0;0;0;0;0;0
P03;184;1;0;0;0;0;0;0
P03;185;1;0;0;0;0;0;0
P03;186;1;0;0;0;0;0;0
P03;187;1;0;0;0;0;0;0
P03;188;1;0;0;0;0;0;0
P03;189;1;0;0;0;0;0;0
P03;190;1;0;0;0;0;0;0
P03;191;1;0;0;0;0;0;0
P03;192;1;0;0;0;0;0;0
P03;193;1;0;0;0;0;0;1
P03;194;1;0;0;0;0;0;1
P03;195;1;0;0;0;0;0;1
P03;196;1;0;0;0;0;0;1
P03;197;1;0;0;0;0;0;1
P03;198;1;0;0;0;0;0;1
P03;199;1;0;0;0;1;0;0
P03;200;1;0;0;0;0;0;0
P03;201;1;0;0;0;0;0;0
P03;202;1;0;0;0;0;0;0
P03;203;1;0;0;0;0;0;0
P03;204;1;0;0;0;0;0;0
P03;205;1;0;0;0;0;0;0
P03;206;1;0;0;0;0;1;0
P03;207;1;0;0;0;0;1;0
P03;208;1;0;0;0;0;1;0
P03;209;1;0;0;0;1;0;0
P03;210;1;0;0;0;1;0;0
P03;211;1;0;0;1;0;0;0
P03;212;1;0;0;1;0;0;0
P03;213;1;0;0;1;0;0;0
P03;214;1;0;0;0;1;0;0
P03;215;1;0;0;0;0;0;0
P03;216;1;0;0;0;1;0;0
P03;217;1;0;0;0;0;1;0
P03;218;1;0;0;0;1;0;0
