ParticipantName	LocalTimeStamp	FixationIndex	GazeEventDuration	AOI[window]Hit	AOI[title]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[Q1]Hit	
P01	09:18:09.074	103	120	1	1	0	0	0	0	0	
P01	09:18:09.231	104	280	1	1	0	0	0	0	0	
P01	09:18:09.551	105	340	1	0	1	0	0	0	1	
P01	09:18:09.957	106	123	1	0	0	0	0	0	0	
P01	09:18:10.104	107	190	1	0	0	0	0	0	0	
P01	09:18:10.330	108	250	1	1	0	0	0	0	0	
P01	09:18:10.617	109	170	1	1	0	0	0	0	0	
P01	09:18:10.830	110	177	1	1	0	0	0	0	0	
P01	09:18:11.044	111	170	1	1	0	0	0	0	0	
P01	09:18:11.234	112	157	1	1	0	0	0	0	0	
P01	09:18:11.424	113	280	1	1	0	0	0	0	0	
P01	09:18:11.747	114	313	1	1	0	0	0	0	0	
P01	09:18:12.080	115	193	1	1	0	0	0	0	0	
P01	09:18:12.454	116	177	1	0	1	0	0	0	0	
P01	09:18:12.677	117	117	1	0	1	0	0	0	1	
P01	09:18:12.874	118	103	1	0	1	0	0	0	1	
P01	09:18:13.003	119	383	1	0	1	0	0	0	1	
P01	09:18:13.437	120	257	1	0	1	0	1	0	0	
P01	09:18:13.710	121	603	1	0	1	0	1	0	0	
P01	09:18:14.323	122	303	1	0	1	0	1	0	0	
P01	09:18:14.680	123	103	1	0	1	0	0	1	0	
P01	09:18:14.933	124	170	1	0	1	0	0	0	1	
P01	09:18:15.110	125	127	1	0	1	0	0	0	1	
P01	09:18:15.273	126	407	1	0	1	0	0	1	0	
P01	09:18:15.713	127	473	1	0	1	0	0	1	0	
P01	09:18:16.203	128	150	1	0	1	0	0	1	0	
P01	09:18:16.403	129	130	1	0	1	0	0	0	1	
P01	09:18:16.586	130	203	1	0	0	1	0	0	0	
P01	09:18:16.796	131	153	1	0	0	1	0	0	0	
P01	09:18:17.006	132	183	1	0	1	0	0	0	1	
P01	09:18:17.206	133	233	1	0	1	0	0	0	1	
P01	09:18:17.473	134	93	1	0	1	0	0	0	1	
P01	09:18:17.573	135	160	1	0	1	0	0	0	1	
P01	09:18:17.743	136	137	1	0	1	0	0	0	1	
P01	09:18:17.890	137	503	1	0	1	0	0	0	1	
P01	09:18:18.436	138	327	1	0	1	0	0	1	0	
P01	09:18:18.783	139	423	1	0	1	0	1	0	0	
P01	09:18:19.246	140	317	1	0	1	0	1	0	0	
P01	09:18:19.576	141	427	1	0	1	0	1	0	0	
P01	09:18:20.176	142	227	1	0	1	0	0	1	0	
P01	09:18:20.473	143	187	1	1	0	0	0	0	0	
P01	09:18:20.693	144	133	1	1	0	0	0	0	0	
P01	09:18:20.856	145	227	1	1	0	0	0	0	0	
P01	09:18:21.126	146	153	1	1	0	0	0	0	0	
P01	09:18:21.316	147	173	1	1	0	0	0	0	0	
P01	09:18:21.522	148	267	1	1	0	0	0	0	0	
P01	09:18:21.832	149	223	1	0	0	1	0	0	0	
P01	09:18:22.922	150	60	1	0	1	0	0	0	0	
P01	09:18:22.986	151	147	1	0	1	0	0	0	1	
P01	09:18:23.139	152	257	1	0	1	0	0	0	1	
P01	09:18:23.426	153	533	1	0	1	0	0	0	1	
P02	14:12:36.254	1	540	1	0	1	0	0	0	0	
P02	14:12:36.594	2	240	1	0	1	0	0	0	1	
P02	14:12:36.857	3	490	1	0	1	0	0	0	1	
P02	14:12:37.404	4	187	1	0	0	1	0	0	0	
P02	14:12:37.614	5	193	1	0	0	1	0	0	0	
P02	14:12:37.884	6	90	1	1	0	0	0	0	0	
P02	14:12:38.154	7	150	1	1	0	0	0	0	0	
P02	14:12:38.327	8	247	1	1	0	0	0	0	0	
P02	14:12:38.597	9	200	1	1	0	0	0	0	0	
P02	14:12:38.820	10	273	1	1	0	0	0	0	0	
P02	14:12:39.120	11	210	1	1	0	0	0	0	0	
P02	14:12:39.340	12	140	1	1	0	0	0	0	0	
P02	14:12:39.507	13	177	1	1	0	0	0	0	0	
P02	14:12:39.700	14	173	1	1	0	0	0	0	0	
P02	14:12:39.897	15	147	1	1	0	0	0	0	0	
P02	14:12:40.063	16	243	1	1	0	0	0	0	0	
P02	14:12:40.334	17	207	1	1	0	0	0	0	0	
P02	14:12:40.557	18	180	1	1	0	0	0	0	0	
P02	14:12:40.757	19	200	1	1	0	0	0	0	0	
P02	14:12:40.970	20	290	1	1	0	0	0	0	0	
P02	14:12:41.283	21	577	1	1	0	0	0	0	0	
P02	14:12:41.887	22	220	1	1	0	0	0	0	0	
P02	14:12:42.127	23	147	1	1	0	0	0	0	0	
P02	14:12:42.297	24	190	1	1	0	0	0	0	0	
P02	14:12:42.510	25	310	1	1	0	0	0	0	0	
P02	14:12:42.843	26	290	1	1	0	0	0	0	0	
P02	14:12:43.157	27	160	1	1	0	0	0	0	0	
P02	14:12:43.340	28	167	1	1	0	0	0	0	0	
P02	14:12:43.533	29	103	1	1	0	0	0	0	0	
P02	14:12:43.790	30	300	1	1	0	0	0	0	0	
P02	14:12:44.116	31	183	1	1	0	0	0	0	0	
P02	14:12:44.526	32	267	1	0	0	0	0	0	0	
P02	14:12:44.816	33	83	1	1	0	0	0	0	0	
P02	14:12:45.516	34	167	1	1	0	0	0	0	0	
P02	14:12:45.730	35	233	1	0	0	0	0	0	0	
P02	14:12:45.996	36	170	1	1	0	0	0	0	0	
P02	14:12:46.169	37	187	1	1	0	0	0	0	0	
P02	14:12:46.499	38	390	1	0	0	0	0	0	0	
P02	14:12:46.959	39	123	1	0	0	1	0	0	0	
P02	14:12:47.096	40	307	1	0	0	1	0	0	0	
P02	14:12:47.423	41	83	1	0	0	1	0	0	0	
P02	14:12:47.643	42	173	1	0	1	0	0	0	1	
P02	14:12:47.839	43	373	1	0	1	0	0	0	1	
P02	14:12:48.233	44	283	1	0	1	0	0	0	1	
P02	14:12:48.569	45	253	1	0	0	1	0	0	0	
P02	14:12:48.839	46	147	1	0	0	1	0	0	0	
P02	14:12:49.006	47	430	1	0	0	1	0	0	0	
P02	14:12:49.452	48	180	1	0	0	1	0	0	0	
P02	14:12:49.649	49	290	1	0	0	1	0	0	0	
P02	14:12:49.959	50	240	1	0	0	1	0	0	0	
P02	14:12:50.236	51	350	1	0	0	1	0	0	0	
P02	14:12:50.645	52	113	1	0	1	0	0	0	0	
P02	14:12:50.782	53	187	1	0	1	0	0	0	1	
P02	14:12:50.979	54	110	1	0	1	0	0	0	1	
P02	14:12:51.255	55	170	1	0	1	0	0	0	1	
P02	14:12:51.432	56	1416	1	0	1	0	0	0	1	
