ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[graph]Hit	
P04	15	1	0	0	0	0	0	1	
P04	16	1	0	0	0	0	0	0	
P04	17	1	0	0	0	0	0	0	
P04	18	1	0	0	0	0	0	0	
P04	19	1	0	0	0	0	0	1	
P04	20	1	0	0	0	0	0	1	
P04	21	1	0	0	0	0	0	1	
P04	22	1	0	0	0	0	0	0	
P04	23	1	0	0	0	1	0	1	
P04	24	1	0	0	0	1	0	1	
P04	25	1	0	0	0	0	0	0	
P04	26	1	0	0	0	0	0	1	
P04	27	1	0	0	0	0	0	1	
P04	28	1	0	0	0	0	0	1	
P04	29	1	0	0	0	0	0	1	
P04	30	1	0	0	0	0	0	1	
P04	31	1	0	0	0	1	0	1	
P04	32	1	0	0	0	1	0	1	
P04	33	1	0	0	0	1	0	1	
P04	34	1	0	0	0	0	0	1	
P04	35	1	0	0	0	0	0	1	
P04	36	1	0	0	0	0	0	1	
P05	1	1	0	0	0	0	1	1	
P05	2	1	0	0	0	0	1	1	
P05	3	1	0	0	0	0	1	1	
P05	4	1	0	0	0	0	1	1	
P05	5	1	0	0	1	0	0	1	
P05	6	1	0	0	1	0	0	1	
P05	7	1	0	0	0	0	0	0	
P05	8	1	0	0	0	0	0	0	
P05	9	1	1	0	0	0	0	0	
P05	10	1	0	0	0	0	0	0	
P05	11	1	0	0	0	0	0	0	
P05	12	1	1	0	0	0	0	0	
P05	13	1	1	0	0	0	0	0	
P05	14	1	0	0	0	0	0	0	
P05	15	1	0	0	0	0	0	1	
P05	16	1	0	0	0	0	0	1	
P05	17	1	0	0	0	0	0	1	
P05	18	1	0	0	0	0	0	1	
P05	19	1	0	0	0	0	0	1	
P05	20	1	0	0	0	0	0	1	
P05	21	1	0	0	0	0	0	1	
P05	22	1	0	0	0	0	0	1	
P05	23	1	0	0	0	0	0	1	
P05	24	1	1	0	0	0	0	0	
P05	25	1	1	0	0	0	0	0	
P05	26	1	0	0	0	0	0	1	
P05	27	1	0	0	0	0	0	1	
P05	28	1	0	0	0	0	0	0	
P05	29	1	0	0	0	0	0	0	
P05	30	1	0	0	0	0	0	0	
P05	31	1	0	0	0	0	0	1	
P05	32	1	0	0	0	0	0	1	
P05	33	1	0	1	0	0	0	0	
P05	34	1	0	0	0	0	0	0	
P05	35	1	0	0	0	0	0	1	
P05	36	1	0	0	0	0	0	1	
P05	37	1	0	0	0	0	0	1	
P05	38	1	0	0	0	0	0	1	
P05	39	1	0	0	0	0	0	1	
P05	40	1	0	0	0	0	0	1	
P05	41	1	0	0	0	1	0	1	
P05	42	1	0	0	0	0	0	1	
P05	43	1	0	0	0	0	0	0	
P05	44	1	0	0	0	0	0	1	
P05	45	1	0	0	0	0	0	1	
P05	46	1	0	0	0	0	0	1	
P05	47	1	0	0	0	0	0	1	
P05	48	1	0	0	0	0	0	1	
P05	49	1	0	0	0	0	0	1	
P05	50	1	0	0	1	0	0	1	
P05	51	1	0	0	1	0	0	1	
P05	52	1	0	0	1	0	0	1	
P05	53	1	0	0	0	0	0	1	
P05	54	1	0	0	0	0	0	1	
P05	55	1	0	0	1	0	0	1	
P05	56	1	0	0	1	0	0	1	
P05	57	1	0	0	0	0	0	1	
P05	58	1	0	0	0	0	0	0	
P05	59	1	0	0	1	0	0	1	
P05	60	1	0	0	1	0	0	1	
P05	61	1	0	0	1	0	0	1	
P05	62	1	0	0	1	0	0	1	
P05	63	1	0	0	0	0	0	0	
P05	64	1	0	0	1	0	0	1	
P05	65	1	0	0	0	0	0	1	
P05	66	1	0	0	0	1	0	1	
P05	67	1	0	0	0	1	0	1	
P05	68	1	0	0	0	1	0	1	
P05	69	1	0	0	0	0	1	1	
P05	70	1	0	0	1	0	0	1	
P05	71	1	0	0	0	0	0	1	
P05	72	1	0	0	0	1	0	1	
P05	73	1	0	0	0	0	1	1	
P05	74	1	0	0	0	0	1	1	
P05	75	1	0	0	0	0	1	1	
P05	76	1	0	0	0	0	1	1	
P05	77	1	0	0	0	0	1	1	
P05	78	1	0	0	0	0	1	1	
P05	79	1	0	0	0	0	1	1	
P05	80	1	0	0	0	0	1	1	
P05	81	1	0	0	0	0	1	1	
P05	82	1	0	0	0	0	1	1	
P05	83	1	0	0	0	0	1	1	
